Name,Type1,Type2,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,FireRed,LeafGreen,Emerald,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends: Arceus,Scarlet,Violet
Medicham,Fighting,Psychic,,,,,,,Victory Road,Victory Road,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,"Route 217, Acuity Lakefront, Mt. Coronet, Victory Road","Route 217, Acuity Lakefront, Mt. Coronet, Victory Road",Mt. Coronet,Evolve Meditite,Evolve Meditite,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Meditite,Evolve Meditite,Victory Road,Victory Road,Trade/migrate from another game,Trade/migrate from another game,Ultra Space Wilds,Ultra Space Wilds,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 217, Acuity Lakefront, Mt. Coronet, Victory Road","Route 217, Acuity Lakefront, Mt. Coronet, Victory Road",Not available in this game,"South Province (Area Four), South Province (Area Six), West Province (Area Two), The Great Crater of Paldea","South Province (Area Four), South Province (Area Six), West Province (Area Two), The Great Crater of Paldea"
Electrike,Electric,None,,,,,,,"Route 110, 118","Route 110, 118",Trade/migrate from another game,Trade/migrate from another game,"Route 110, 118",Valley Windworks,Valley Windworks,Valley Windworks,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 10,"Route 110, 118","Route 110, 118",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Poké Pelago,Not available in this game,Not available in this game,"Route 4, Rolling Fields, South Lake Miloch, East Lake Axewell, Dappled Grove, Dusty Bowl, West Lake Axewell, Giant's Seat, Watchtower Ruins","Route 4, Rolling Fields, South Lake Miloch, East Lake Axewell, Dappled Grove, Dusty Bowl, West Lake Axewell, Giant's Seat, Watchtower Ruins",Valley Windworks,Valley Windworks,Not available in this game,Not available in this game,Not available in this game
Manectric,Electric,None,,,,,,,Route 118,Route 118,Trade/migrate from another game,Trade/migrate from another game,Route 118,Evolve Electrike,Evolve Electrike,Evolve Electrike,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Electrike,Evolve Electrike,Evolve Electrike,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 12,Not available in this game,Not available in this game,"Axew's Eye, Giant's Cap, Giant's Seat","Axew's Eye, Giant's Cap, Giant's Seat",Evolve Electrike,Evolve Electrike,Not available in this game,Not available in this game,Not available in this game
Plusle,Electric,None,,,,,,,"Route 110, Fortree City","Route 110, Fortree City",Trade/migrate from another game,Trade/migrate from another game,Route 110,Trophy Garden,Trophy Garden,Trophy Garden,"Route 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, 48, National Park","Route 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, 48, National Park",Route 6,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 5,Route 5,Route 110,Route 110,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game
Minun,Electric,None,,,,,,,Route 110,Route 110,Trade/migrate from another game,Trade/migrate from another game,Route 110,Trophy Garden,Trophy Garden,Trophy Garden,"Route 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, 48, National Park","Route 1, 2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 29, 33, 36, 37, 38, 39, 46, 48, National Park",Trade/migrate from another game,Route 6,Trade/migrate from another game,Trade/migrate from another game,Route 5,Route 5,Route 110,Route 110,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game
Volbeat,Bug,None,,,,,,,Route 117,Route 117,Trade/migrate from another game,Trade/migrate from another game,Route 117,Route 229,Route 229,Route 229,National Park,National Park,Route 3,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 7,Route 7,Route 117,Route 117,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 229, Grassland Cave, Dazzling Cave, Sunlit Cavern, Stargleam Cavern","Route 229, Grassland Cave, Dazzling Cave, Sunlit Cavern, Stargleam Cavern",Not available in this game,Not available in this game,Not available in this game
Illumise,Bug,None,,,,,,,Route 117,Route 117,Trade/migrate from another game,Trade/migrate from another game,Route 117,Route 229,Route 229,Route 229,National Park,National Park,Trade/migrate from another game,Route 3,Trade/migrate from another game,Trade/migrate from another game,Route 7,Route 7,Route 117,Route 117,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 229, Grassland Cave, Dazzling Cave, Sunlit Cavern, Stargleam Cavern","Route 229, Grassland Cave, Dazzling Cave, Sunlit Cavern, Stargleam Cavern",Not available in this game,Not available in this game,Not available in this game
Roselia,Grass,Poison,,,,,,,Route 117,Route 117,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,"Route 212, 221, 224, 225, 229, Great Marsh, Trophy Garden","Route 212, 221, 224, 225, Great Marsh, Trophy Garden","Route 208, 209, 210, 212, 221, 224, 229, 230, Great Marsh, Trophy Garden",Evolve Budew,Evolve Budew,Trade/migrate from another game,Evolve Budew,"Route 12, Lostlorn Forest, Victory Road","Route 12, Lostlorn Forest, Victory Road",Route 7,Route 7,Route 117,Route 117,Ula'ula Meadow,Ula'ula Meadow,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,"South Lake Miloch, Axew's Eye, Dusty Bowl, Giant's Mirror","South Lake Miloch, Axew's Eye, Dusty Bowl, Giant's Mirror","Route 212, 221, 224, 225, 229, Trophy Garden, Grassland Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern","Route 212, 221, 224, 225, Trophy Garden, Grassland Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern","Cloudpool Ridge, Fabled Spring, Gapejaw Bog",Not available in this game,Not available in this game
Gulpin,Poison,None,,,,,,,Route 110,Route 110,Trade/migrate from another game,Trade/migrate from another game,Route 110,Great Marsh,Great Marsh,Great Marsh,Trade/migrate from another game,Route 3,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 5,Route 5,Route 110,Route 110,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Trade/migrate from another game,"Casseroya Lake, East Province (Area One), South Province (Area Three)"
Swalot,Poison,None,,,,,,,Evolve Gulpin,Evolve Gulpin,Trade/migrate from another game,Trade/migrate from another game,Evolve Gulpin,Evolve Gulpin,Evolve Gulpin,Evolve Gulpin,Trade/migrate from another game,Evolve Gulpin,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Gulpin,Evolve Gulpin,Evolve Gulpin,Evolve Gulpin,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Trade/migrate from another game,Casseroya Lake
Carvanha,Water,Dark,,,,,,,"Route 118, 119","Route 118, 119",Trade/migrate from another game,Trade/migrate from another game,"Route 118, 119",Great Marsh,Great Marsh,Great Marsh,Trade/migrate from another game,Trade/migrate from another game,Village Bridge,Village Bridge,Village Bridge,Village Bridge,Route 22,Route 22,"Route 118, 119","Route 118, 119",Breed Sharpedo,Breed Sharpedo,"Ancient Poni Path, Poni Breaker Coast","Ancient Poni Path, Poni Breaker Coast",Not available in this game,Not available in this game,Training Lowlands,Training Lowlands,"Great Marsh, Fountainspring Cave, Riverbank Cave, Still-Water Cavern","Great Marsh, Fountainspring Cave, Riverbank Cave, Still-Water Cavern",Not available in this game,Not available in this game,Not available in this game
Sharpedo,Water,Dark,,,,,,,"Route 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, 134, Mossdeep City, Pacifidlog Town","Route 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, 134, Mossdeep City, Pacifidlog Town",Trade/migrate from another game,Trade/migrate from another game,"Route 103, 118, 122, 124, 125, 126, 127, 129, 130, 131, 132, 133, 134, Mossdeep City, Pacifidlog Town","Route 213, 222","Route 213, 222",Evolve Carvanha,Trade/migrate from another game,Trade/migrate from another game,Village Bridge,Village Bridge,Village Bridge,Village Bridge,Route 22,Route 22,"Route 118, 119","Route 118, 119",Poni Breaker Coast,Poni Breaker Coast,"Ancient Poni Path, Poni Breaker Coast","Ancient Poni Path, Poni Breaker Coast",Not available in this game,Not available in this game,"Honeycalm Sea, Training Lowlands","Honeycalm Sea, Training Lowlands","Route 213, 222","Route 213, 222",Not available in this game,Not available in this game,Not available in this game
Wailmer,Water,None,,,,,,,"Route 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City, Lilycove City","Route 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City, Lilycove City",Trade/migrate from another game,Trade/migrate from another game,"Route 103, 105, 106, 107, 108, 109, 110, 115, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Shoal Cave, Slateport City, Lilycove City","Route 223, 230","Route 223, 230",Route 230,Trade/migrate from another game,Trade/migrate from another game,"Undella Bay, Undella Town","Undella Bay, Undella Town",Undella Bay,Undella Bay,"Route 8, Cyllage City, Ambrette Town","Route 8, Cyllage City, Ambrette Town","Route 103, 105, 106, 107, 108, 109, 110, 115, 122, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Sealed Chamber, Shoal Cave, Slateport City, Lilycove City, Victory Road, Sea Mauville, Team Magma/Aqua Hideout","Route 103, 105, 106, 107, 108, 109, 110, 115, 122, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, Dewford Town, Ever Grande City, Mossdeep City, Pacifidlog Town, Seafloor Cavern, Sealed Chamber, Shoal Cave, Slateport City, Lilycove City, Victory Road, Sea Mauville, Team Magma/Aqua Hideout","Poni Wilds, Poni Breaker Coast, Seafolk Village","Poni Wilds, Poni Breaker Coast, Seafolk Village","Ancient Poni Path, Poni Breaker Coast, Seafolk Village","Ancient Poni Path, Poni Breaker Coast, Seafolk Village",Not available in this game,Not available in this game,"Route 9, Honeycalm Island, Honeycalm Sea, Frigid Sea","Route 9, Honeycalm Island, Honeycalm Sea, Frigid Sea","Route 223, 230","Route 223, 230",Not available in this game,Not available in this game,Not available in this game
Wailord,Water,None,,,,,,,Route 129,Route 129,Trade/migrate from another game,Trade/migrate from another game,Route 129,"Route 223, 230","Route 223, 230",Route 230,Trade/migrate from another game,Trade/migrate from another game,Undella Bay,Undella Bay,Undella Bay,Undella Bay,Evolve Wailmer,Evolve Wailmer,Evolve Wailmer,Evolve Wailmer,"Poni Wilds, Poni Breaker Coast, Seafolk Village","Poni Wilds, Poni Breaker Coast, Seafolk Village","Ancient Poni Path, Poni Breaker Coast, Seafolk Village","Ancient Poni Path, Poni Breaker Coast, Seafolk Village",Not available in this game,Not available in this game,Route 9,Route 9,"Route 223, 230","Route 223, 230",Not available in this game,Not available in this game,Not available in this game
Numel,Fire,Ground,,,,,,,"Route 112, Fiery Path, Jagged Pass","Route 112, Fiery Path, Jagged Pass",Trade/migrate from another game,Trade/migrate from another game,"Route 112, Fiery Path, Jagged Pass","Route 227, Stark Mountain","Route 227, Stark Mountain","Route 227, Stark Mountain","Ilex Forest, Viridian Forest","Ilex Forest, Viridian Forest",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Reversal Mountain,Trade/migrate from another game,Trade/migrate from another game,"Route 112, Fiery Path, Jagged Pass","Route 112, Fiery Path, Jagged Pass",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 227, Stark Mountain, Rocky Cave, Volcanic Cave, Sandsear Cave, Big Bluff Cavern, Typhlo Cavern","Route 227, Stark Mountain, Rocky Cave, Volcanic Cave, Sandsear Cave, Big Bluff Cavern, Typhlo Cavern",Not available in this game,"North Province (Area Two), West Province (Area One), The Great Crater of Paldea","North Province (Area Two), West Province (Area One), The Great Crater of Paldea"
Camerupt,Fire,Ground,,,,,,,Evolve Numel,Evolve Numel,Trade/migrate from another game,Trade/migrate from another game,Evolve Numel,"Route 227, Stark Mountain","Route 227, Stark Mountain","Route 227, Stark Mountain",Evolve Numel,Evolve Numel,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Reversal Mountain,Trade/migrate from another game,Trade/migrate from another game,Evolve Numel,Evolve Numel,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 227, Stark Mountain, Rocky Cave, Volcanic Cave, Sandsear Cave, Big Bluff Cavern, Typhlo Cavern","Route 227, Stark Mountain, Rocky Cave, Volcanic Cave, Sandsear Cave, Big Bluff Cavern, Typhlo Cavern",Not available in this game,"North Province (Area Two), The Great Crater of Paldea","North Province (Area Two), The Great Crater of Paldea"
Torkoal,Fire,None,,,,,,,Fiery Path,Fiery Path,Trade/migrate from another game,Trade/migrate from another game,"Fiery Path, Team Magma/Aqua Hideout","Route 227, Stark Mountain","Route 227, Stark Mountain","Route 227, Stark Mountain",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 18,Route 18,Fiery Path,Fiery Path,"Route 12, Blush Mountain","Route 12, Blush Mountain","Route 12, Blush Mountain","Route 12, Blush Mountain",Not available in this game,Not available in this game,"Route 6, Giant's Cap, Giant's Mirror, Motostoke Riverbank, Potbottom Desert, Warm-Up Tunnel","Route 6, Giant's Cap, Giant's Mirror, Motostoke Riverbank, Potbottom Desert, Warm-Up Tunnel","Route 227, Stark Mountain, Volcanic Cave, Sandsear Cave, Typhlo Cavern","Route 227, Stark Mountain, Volcanic Cave, Sandsear Cave, Typhlo Cavern",Not available in this game,East Province (Area Three),East Province (Area Three)
Spoink,Psychic,None,,,,,,,Jagged Pass,Jagged Pass,Trade/migrate from another game,Trade/migrate from another game,Jagged Pass,Route 214,Route 214,Route 214,"Ilex Forest, Viridian Forest","Ilex Forest, Viridian Forest",Trade/migrate from another game,Trade/migrate from another game,Reversal Mountain,Trade/migrate from another game,Route 8,Route 8,Jagged Pass,Jagged Pass,Trade/migrate from another game,Trade/migrate from another game,Breed Grumpig,Breed Grumpig,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Route 214,Route 214,Not available in this game,"North Province (Area One), North Province (Area Two), South Province (Area Three)","North Province (Area One), North Province (Area Two), South Province (Area Three)"
Grumpig,Psychic,None,,,,,,,Evolve Spoink,Evolve Spoink,Trade/migrate from another game,Trade/migrate from another game,Evolve Spoink,Evolve Spoink,Evolve Spoink,Evolve Spoink,Evolve Spoink,Evolve Spoink,Trade/migrate from another game,Trade/migrate from another game,Reversal Mountain,Trade/migrate from another game,Evolve Spoink,Evolve Spoink,Evolve Spoink,Evolve Spoink,Trade/migrate from another game,Trade/migrate from another game,Ultra Space Wilds,Ultra Space Wilds,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Evolve Spoink,Evolve Spoink,Not available in this game,"North Province (Area One), North Province (Area Two)","North Province (Area One), North Province (Area Two)"
Spinda,Normal,None,,,,,,,Route 113,Route 113,Trade/migrate from another game,Trade/migrate from another game,Route 113,Route 227,Route 227,Route 227,"Bell Tower, Burned Tower, Sprout Tower","Bell Tower, Burned Tower, Sprout Tower",Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 21,Route 21,Route 113,Route 113,Ten Carat Hill,Ten Carat Hill,Ten Carat Hill,Ten Carat Hill,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Route 227,Route 227,Not available in this game,Not available in this game,Not available in this game
Trapinch,Ground,None,,,,,,,Route 111,Route 111,Trade/migrate from another game,Trade/migrate from another game,"Route 111, Mirage Tower",Route 228,Route 228,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,White Forest,"Desert Resort, Reversal Mountain","Desert Resort, Reversal Mountain",Route 13,Route 13,Route 111,Route 111,Haina Desert,Haina Desert,Haina Desert,Haina Desert,Not available in this game,Not available in this game,Route 6,"Route 6, Hammerlocke Hills","Route 228, Rocky Cave, Sandsear Cave, Big Bluff Cavern","Route 228, Rocky Cave, Sandsear Cave, Big Bluff Cavern",Not available in this game,Not available in this game,Not available in this game
Vibrava,Ground,Dragon,,,,,,,Evolve Trapinch,Evolve Trapinch,Trade/migrate from another game,Trade/migrate from another game,Evolve Trapinch,Route 228,Route 228,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Trapinch,Reversal Mountain,Reversal Mountain,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Evolve Trapinch,Not available in this game,Not available in this game,Evolve Trapinch,Evolve Trapinch,"Route 228, Grassland Cave, Rocky Cave, Sunlit Cavern, Big Bluff Cavern","Route 228, Grassland Cave, Rocky Cave, Sunlit Cavern, Big Bluff Cavern",Not available in this game,Not available in this game,Not available in this game
Flygon,Ground,Dragon,,,,,,,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Trade/migrate from another game,Trade/migrate from another game,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Not available in this game,Not available in this game,Lake of Outrage,Lake of Outrage,Evolve Trapinch/Vibrava,Evolve Trapinch/Vibrava,Not available in this game,Not available in this game,Not available in this game
Cacnea,Grass,None,,,,,,,Route 111,Route 111,Trade/migrate from another game,Trade/migrate from another game,Route 111,Route 228,Route 228,Route 228,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Route 111,Route 111,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 228, Grassland Cave, Rocky Cave, Swampy Cave, Sunlit Cavern, Big Bluff Cavern, Bogsunk Cavern","Route 228, Grassland Cave, Rocky Cave, Swampy Cave, Sunlit Cavern, Big Bluff Cavern, Bogsunk Cavern",Not available in this game,Asado Desert,Asado Desert
Cacturne,Grass,Dark,,,,,,,Evolve Cacnea,Evolve Cacnea,Trade/migrate from another game,Trade/migrate from another game,Evolve Cacnea,Route 228,Route 228,Route 228,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Evolve Cacnea,Evolve Cacnea,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Route 228, Grassland Cave, Rocky Cave, Swampy Cave, Sunlit Cavern, Big Bluff Cavern, Bogsunk Cavern","Route 228, Grassland Cave, Rocky Cave, Swampy Cave, Sunlit Cavern, Big Bluff Cavern, Bogsunk Cavern",Not available in this game,Asado Desert,Asado Desert
Swablu,Normal,Flying,,,,,,,"Route 114, 115","Route 114, 115",Trade/migrate from another game,Trade/migrate from another game,"Route 114, 115",Route 211,Route 211,Route 210,Route 45,Route 45,Breed Altaria,Breed Altaria,"Route 14, Abundant Shrine","Route 14, Abundant Shrine",Route 21,Route 21,"Route 114, 115, Sky Pillar","Route 114, 115, Sky Pillar",Trade/migrate from another game,Trade/migrate from another game,Breed Altaria,Breed Altaria,Not available in this game,Not available in this game,"Slippery Slope, Frostpoint Field, Giant's Bed, Path to the Peak, Giant's Foot, Frigid Sea, Three-Point Pass, Ballimere Lake","Slippery Slope, Frostpoint Field, Giant's Bed, Path to the Peak, Giant's Foot, Frigid Sea, Three-Point Pass, Ballimere Lake","Route 211, Spacious Cave, Fountainspring Cave, Whiteout Cave, Icy Cave, Glacial Cavern","Route 211, Spacious Cave, Fountainspring Cave, Whiteout Cave, Icy Cave, Glacial Cavern",Not available in this game,"Tagtree Thicket, Casseroya Lake, North Province (Area One), North Province (Area Two), East Province (Area One), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Three), The Great Crater of Paldea, Glaseado Mountain","Tagtree Thicket, Casseroya Lake, North Province (Area One), North Province (Area Two), East Province (Area One), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Three), The Great Crater of Paldea, Glaseado Mountain"
Altaria,Dragon,Flying,,,,,,,Sky Pillar,Sky Pillar,Trade/migrate from another game,Trade/migrate from another game,Sky Pillar,Evolve Swablu,Evolve Swablu,Evolve Swablu,Evolve Swablu,Evolve Swablu,Route 14,Route 14,"Route 14, Abundant Shrine, Victory Road, Nature Sanctuary, Nature Preserve","Route 14, Abundant Shrine, Victory Road, Nature Sanctuary, Nature Preserve",Route 21,Route 21,Evolve Swablu,Evolve Swablu,Trade/migrate from another game,Trade/migrate from another game,Ultra Space Wilds,Ultra Space Wilds,Not available in this game,Not available in this game,Evolve Swablu,Evolve Swablu,Evolve Swablu,Evolve Swablu,Not available in this game,"Tagtree Thicket, Casseroya Lake, North Province (Area One), North Province (Area Two), East Province (Area One), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Three), The Great Crater of Paldea, Glaseado Mountain","Tagtree Thicket, Casseroya Lake, North Province (Area One), North Province (Area Two), East Province (Area One), East Province (Area Three), South Province (Area One), South Province (Area Two), South Province (Area Four), South Province (Area Five), South Province (Area Six), West Province (Area One), West Province (Area Three), The Great Crater of Paldea, Glaseado Mountain"
Zangoose,Normal,None,,,,,,,Route 114,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,"Route 208, 210","Route 208, 210","Route 208, 210",Trade/migrate from another game,Trade/migrate from another game,"Route 11, Village Bridge","Route 11, Village Bridge","Route 7, 11, Village Bridge","Route 7, 11, Village Bridge",Route 8,Route 8,Route 114,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,"Grassland Cave, Swampy Cave, Dazzling Cave, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern",Trade/migrate from another game,Not available in this game,South Province (Area Five),South Province (Area Five)
Seviper,Poison,None,,,,,,,Trade/migrate from another game,Route 114,Trade/migrate from another game,Trade/migrate from another game,Route 114,"Route 208, 210","Route 208, 210","Route 208, 210",Trade/migrate from another game,Trade/migrate from another game,"Route 11, Village Bridge","Route 11, Village Bridge","Route 7, 11, Village Bridge","Route 7, 11, Village Bridge",Route 8,Route 8,Trade/migrate from another game,Route 114,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game,Not available in this game,Trade/migrate from another game,"Grassland Cave, Swampy Cave, Dazzling Cave, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern",Not available in this game,South Province (Area Five),South Province (Area Five)
Lunatone,Rock,Psychic,,,,,,,Trade/migrate from another game,Meteor Falls,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,"Lake Acuity, Lake Valor, Lake Verity, Mt. Coronet, Sendoff Spring, Turnback Cave","Lake Acuity, Lake Valor, Lake Verity, Mt. Coronet, Sendoff Spring, Turnback Cave","Lake Acuity, Lake Valor, Lake Verity, Mt. Coronet, Sendoff Spring, Turnback Cave",Trade/migrate from another game,Trade/migrate from another game,"Route 13, Giant Chasm","Route 13, Giant Chasm","Route 13, 22, Giant Chasm","Route 13, 22, Giant Chasm",Glittering Cave,Glittering Cave,Trade/migrate from another game,Meteor Falls,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,Trade/migrate from another game,"Route 8, Giant's Cap",Trade/migrate from another game,"Dazzling Cave, Riverbank Cave, Still-Water Cavern, Stargleam Cavern",Not available in this game,Not available in this game,Not available in this game
Solrock,Rock,Psychic,,,,,,,Meteor Falls,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Meteor Falls,"Lake Acuity, Lake Valor, Lake Verity, Mt. Coronet, Sendoff Spring, Turnback Cave","Lake Acuity, Lake Valor, Lake Verity, Mt. Coronet, Sendoff Spring, Turnback Cave","Lake Acuity, Lake Valor, Lake Verity, Mt. Coronet, Sendoff Spring, Turnback Cave",Trade/migrate from another game,Trade/migrate from another game,"Route 13, Giant Chasm","Route 13, Giant Chasm","Route 13, 22, Giant Chasm","Route 13, 22, Giant Chasm",Glittering Cave,Glittering Cave,Meteor Falls,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Trade/migrate from another game,Not available in this game,Not available in this game,"Route 8, Giant's Cap",Trade/migrate from another game,"Dazzling Cave, Riverbank Cave, Still-Water Cavern, Stargleam Cavern",Trade/migrate from another game,Not available in this game,Not available in this game,Not available in this game
