"movie number""line number" "character" "dialogue"
"V" "160" "RIEEKAN" "Reroute all power to the energy shield. We've got to hold  them till all transports are away. Prepare for ground assault."
"V" "161" "VADER" "What is it, General?"
"V" "162" "VEERS" "My lord, the fleet has moves out of light-speed. Com-Scan has  detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment."
"V" "163" "VADER" "The Rebels are alerted to our presence. Admiral Ozzel  came out of light-speed too close to the system."
"V" "164" "VEERS" "He felt surprise was wiser..."
"V" "165" "VADER" "He is as clumsy as he is stupid. General, prepare your troops  for a surface attack."
"V" "166" "VEERS" "Yes, my lord."
"V" "167" "OZZEL" "Lord Vader, the fleet has moved out of light-speed, and we're  preparing to...Aaagh!"
"V" "168" "VADER" "You have failed me for the last time, Admiral. Captain Piett."
"V" "169" "PIETT" "Yes, my lord."
"V" "170" "VADER" "Make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett."
"V" "171" "PIETT" "Thank you, Lord Vader."
"V" "172" "LEIA" "All troop carriers will assemble at the north entrance. The  heavy transport ships will leave as soon as they're loaded. Only two fighter escorts per ship. The energy shield can only be opened for a short time, so you'll have to stay very close to your transports."
"V" "173" "HOBBIE" "Two fighters against a Star Destroyer?"
"V" "174" "LEIA" "The ion cannon will fire several shots to make sure that any  enemy ships will be out of your flight path. When you've gotten past the energy shield, proceed directly to the rendezvous point. Understood?"
"V" "175" "PILOTS" "Right. Okay."
"V" "176" "LEIA" "Good luck."
"V" "177" "DERLIN" "Okay. Everyone to your stations. Let's go!"
"V" "178" "RIEEKAN" "Their primary target will be the power generators. Prepare to  open the shield."
"V" "179" "CONTROLLER" "Sir, Rebel ships are coming into our sector."
"V" "180" "CAPTAIN" "Good. Our first catch of the day."
"V" "181" "WOMAN CONTROLLER" "Stand by, ion control....Fire!"
"V" "182" "ANNOUNCER" "The first transport is away."
"V" "183" "DACK" "Feeling all right, sir?"
"V" "184" "LUKE" "Just like new, Dack. How about you?"
"V" "185" "DACK" "Right now I feel I could take on the whole Empire myself."
"V" "186" "LUKE" "I know what you mean."
"V" "187" "TRENCH OFFICER" "Echo Station Three-T-Eight."
"V" "188" "TRENCH OFFICER" "We have spotted Imperial walkers!"
"V" "189" "CONTROLLER" "Imperial walkers on the north ridge."
"V" "190" "LUKE" "Echo station Five-Seven. We're on our way."
"V" "191" "LUKE" "All right, boys, keep tight now."
"V" "192" "DACK" "Luke, I have no approach vector. I'm not set."
"V" "193" "LUKE" "Steady, Dack. Attack pattern delta. Go now!"
"V" "194" "LUKE" "All right, I'm coming in."
"V" "195" "LUKE" "Hobbie, you still with me?"
"V" "196" "LUKE" "That armor's too strong for blasters."
"V" "197" "LUKE" "Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack."
"V" "198" "DACK" "Luke, we've got a malfunction in fire control. I'll have to cut  in the auxiliary."
"V" "199" "LUKE" "Just hang on. Hang on, Dack. Get ready to fire that tow cable."
"V" "200" "LUKE" "Dack? Dack!"
"V" "201" "VEERS" "Yes, Lord Vader. I've reached the main power generator. The  shield will be down in moments. You may start your landing."
"V" "202" "LUKE" "Rouge Three."
"V" "203" "WEDGE" "Copy, Rouge Leader"
"V" "204" "LUKE" "Wedge, I've lost my gunner. You'll have to make  this shot. I'll cover for you. Set your harpoon. Follow me on the next pass."
"V" "205" "WEDGE" "Coming around, Rouge Leader."
"V" "206" "LUKE" "Steady, Rouge Two"
"V" "207" "WEDGE" "Activate harpoon."
"V" "208" "WEDGE" "Good shot, Janson."
"V" "209" "WEDGE" "One more pass."
"V" "210" "JANSON" "Coming around. Once more."
"V" "211" "JANSON" "One more."
"V" "212" "JANSON" "Cable out! Let her go!"
"V" "213" "WEDGE" "Detach cable."
"V" "214" "JANSON" "Cable detached."
"V" "215" "TRENCH OFFICER" "Come on!"
"V" "216" "WEDGE" "Whooha!! That got him!"
"V" "217" "LUKE" "I see it, Wedge. Good work."
"V" "218" "RIEEKAN" "I don't think we can protect two transports at a time."
"V" "219" "LEIA" "It's risky, but we can't hold out much longer. We have no  choice."
"V" "220" "RIEEKAN" "Launch patrols."
"V" "221" "LEIA" "Evacuate remaining ground staff."
"V" "222" "HAN" "No, no! No! This one goes there, that one goes there. right?"
"V" "223" "THREEPIO" "Artoo, you take good care of Master Luke now, understand?  And...do take care of yourself. Oh, dear, oh, dear."
"V" "224" "VEERS" "All troops will debark for ground assault. Prepare to target  the main generator."
"V" "225" "LUKE" "Rouge Two, are you all right?"
"V" "226" "ZEV" "Yeah. I'm with you, Rouge Leader."
"V" "227" "LUKE" "We'll set harpoon. I'll cover for you."
"V" "228" "ZEV" "Coming around."
"V" "229" "LUKE" "Watch that cross fire, boys."
"V" "230" "ZEV" "Set for position three.  Steady."
"V" "231" "LUKE" "Stay tight and low."
"V" "232" "LUKE" "Hobbie, I've been hit!"
"V" "233" "HAN" "You all right?"
"V" "234" "LEIA" "Why are you still here?"
"V" "235" "HAN" "I heard the command center had been hit."
"V" "236" "LEIA" "You got your clearance to leave."
"V" "237" "HAN" "Don't worry. I'll leave. First I'm going to get you to your ship."
"V" "238" "THREEPIO" "Your Highness, we must take this last transport. It's our  only hope."
"V" "239" "LEIA" "Send all troops in sector twelve to the south  slope to protect the fighters."
"V" "240" "ANNOUNCER" "Imperial troops have entered the base."
"V" "241" "HAN" "Come on...that's it."
"V" "242" "LEIA" "Give the evacuation code signal. And get to  your transports!"
"V" "243" "HEAD CONTROLLER" "K-one-zero...all troops disengage."
"V" "244" "THREEPIO" "Oh! Wait for me!"
"V" "245" "OFFICER" "Begin retreat!"
"V" "246" "SECOND OFFICER" "Fall back!"
"V" "247" "VEERS" "Distance to power generators?"
"V" "248" "PILOT" "One-seven, decimal two-eight."
"V" "249" "VEERS" "Target. Maximum fire power."
"V" "250" "HAN" "Transport, this is Solo. Better take off -- I  can't get to you. I'll get the princess out on the Falcon."
"V" "251" "THREEPIO" "But...but...but...where are you going? Uh...come back!!"
"V" "252" "THREEPIO" "Wait! Wait for me! Wait! Stop!"
"V" "253" "THREEPIO" "How typical."
"V" "254" "HAN" "Come on."
"V" "255" "HAN" "Hurry up, goldenrod, or you're going to be a permanent resident!"
"V" "256" "THREEPIO" "Wait! Wait!"
"V" "257" "HAN" "How's this?"
"V" "258" "LEIA" "Would it helped if I got out and pushed?"
"V" "259" "HAN" "It might."
"V" "260" "THREEPIO" "Captain Solo, Captain Solo...sir, might I suggest that  you..."
"V" "261" "THREEPIO" "It can wait."
"V" "262" "LEIA" "The bucket of bolts is never going to get us past that blockade."
"V" "263" "HAN" "This baby's got a few surprises left in her, sweetheart."
"V" "264" "HAN" "Come on! Come on! Switch over. Let's hope we don't have a  burnout."
"V" "265" "HAN" "See?"
"V" "266" "LEIA" "Someday you're going to be wrong, and I hope I'm there to see it."
"V" "267" "HAN" "Punch it!"
"V" "268" "LUKE" "Artoo! Get her ready for takeoff."
"V" "269" "WEDGE" "Good luck, Luke. See you at the rendezvous."
"V" "270" "LUKE" "Don't worry, Artoo. We're going, we're going."
"V" "271" "LUKE" "There's nothing wrong, Artoo. I'm just setting a  new course."
"V" "272" "LUKE" "We're not going to regroup with the others."
"V" "273" "LUKE" "We're going to the Dagobah system."
"V" "274" "LUKE" "Yes, Artoo?"
"V" "275" "LUKE" "That's all right. I'd like to keep it  on manual control for a while."
"V" "276" "HAN" "I saw them! I saw them!"
"V" "277" "LEIA" "Saw what?"
"V" "278" "HAN" "Star Destroyers, two of them, coming right at us."
"V" "279" "THREEPIO" "Sir, sir! Might I suggest..."
"V" "280" "HAN" "Shut him up or shut him down!  Check the  deflector shield!"
"V" "281" "HAN" "Oh, great. Well, we can still outmaneuver them."
"V" "282" "IMPERIAL OFFICER" "Take evasive action!"
"V" "283" "HAN" "Prepare to make the jump to light-speed."
"V" "284" "THREEPIO" "But, sir!"
"V" "285" "LEIA" "They're getting closer!"
"V" "286" "HAN" "Oh yeah? Watch this."
"V" "287" "LEIA" "Watch what?"
"V" "288" "HAN" "I think we're in trouble."
"V" "289" "THREEPIO" "If I may say so, sir, I noticed earlier the hyperdrive  motivator has been damaged. It's impossible to go to light-speed!"
"V" "290" "HAN" "We're in trouble!"
"V" "291" "HAN" "Horizontal boosters...!"
"V" "292" "HAN" "Alluvial dampers...! Well that's not it."
"V" "293" "HAN" "Bring me the hydrospanners!"
"V" "294" "HAN" "I don't know how we're going to get out of this one."
"V" "295" "HAN" "Oww! Chewie!"
"V" "296" "HAN" "That was no laser blast! Something hit us."
"V" "297" "LEIA" "Han, get up here!"
"V" "298" "HAN" "Come on, Chewie!"
"V" "299" "LEIA" "Asteroids!"
"V" "300" "HAN" "Oh, no! Chewie, set two-seven-one."
"V" "301" "LEIA" "What are you doing? You're not actually going into an asteroid  field?"
"V" "302" "HAN" "They'd be crazy to follow us, wouldn't they?"
"V" "303" "LEIA" "You don't have to do this to impress me."
"V" "304" "THREEPIO" "Sir, the possibility of successfully navigating an asteroid  field is approximately three thousand, seven hundred and twenty to one."
"V" "305" "HAN" "Never tell me the odds!"
"V" "306" "HAN" "You said you wanted to be around when I made a mistake; well,  this could be it, sweetheart."
"V" "307" "LEIA" "I take it back. We're going to get pulverized if we stay out  here much longer."
"V" "308" "HAN" "I'm not going to argue with that."
"V" "309" "THREEPIO" "Pulverized?"
"V" "310" "HAN" "I'm going in closer to one of the big ones."
"V" "311" "LEIA" "Closer?"
"V" "312" "THREEPIO" "Closer?!"
"V" "313" "THREEPIO" "Oh, this is suicide!"
"V" "314" "HAN" "There. That looks pretty good."
"V" "315" "LEIA" "What looks pretty good?"
"V" "316" "HAN" "Yeah. That'll do nicely."
"V" "317" "THREEPIO" "Excuse me, ma'am, but where are we going?"
"V" "318" "LEIA" "I hope you know what you're doing."
"V" "319" "HAN" "Yeah, me too."
"V" "320" "LUKE" "Yes, that's it. Dagobah."
"V" "321" "LUKE" "No, I'm not going to change my mind about this.   I'm not picking up any cities or technology. Massive life-form readings, though. There's something alive down there..."
"V" "322" "LUKE" "Yes, I'm sure it's perfectly safe for droids."
"V" "323" "LUKE" "I know, I know! All the scopes are dead. I can't  see a thing! Just hang on, I'm going to start the landing cycle..."
"V" "324" "LUKE" "No, Artoo, you stay put. I'll have a look around."
"V" "325" "LUKE" "Artoo?"
"V" "326" "LUKE" "Artoo! Where are you?"
"V" "327" "LUKE" "Artoo! You be more careful."
"V" "328" "LUKE" "Artoo -- that way!"
"V" "329" "LUKE" "Artoo!"
"V" "330" "LUKE" "Oh, no! Are you all right? Come on. You're lucky you don't taste  very good. Anything broken?"
"V" "331" "LUKE" "If you're saying coming here was a bad idea, I'm beginning to  agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, I don't know. Maybe I'm just going crazy."
"V" "332" "VADER" "Yes, Admiral?"
"V" "333" "PIETT" "Our ships have sighted the Millennium Falcon, lord. But...it  has entered an asteroid field and we cannot risk..."
"V" "334" "VADER" "Asteroids do not concern me, Admiral. I want  that ship and not excuses."
"V" "335" "PIETT" "Yes, lord."
"V" "336" "HAN" "I'm going to shut down everything but the emergency power  systems."
"V" "337" "THREEPIO" "Sir, I'm almost afraid to ask, but...does that include  shutting me down, too?"
"V" "338" "HAN" "No, I need you to talk to the Falcon, find out what's wrong with  the hyperdrive."
"V" "339" "THREEPIO" "Sir, it's quite possible this asteroid is not entirely  stable."
"V" "340" "HAN" "Not entirely stable? I'm glad you're here to tell us these  things.  Chewie, take the professor in the back and plug him into the hyperdrive."
"V" "341" "THREEPIO" "Oh! Sometimes I just don't understand human behavior. After  all, I'm only trying to do my job in the most..."
"V" "342" "LEIA" "Let go."
"V" "343" "HAN" "Sshh!"
"V" "344" "LEIA" "Let go, please."
"V" "345" "HAN" "Don't get excited."
"V" "346" "LEIA" "Captain, being held by you isn't quite enough to get me excited."
"V" "347" "HAN" "Sorry, sweetheart. We haven't got time for anything else."
"V" "348" "LUKE" "Ready for some power? Okay. Let's see now. Put that in there.  There you go."
"V" "349" "LUKE" "Now all I have to do is find this Yoda...if he even  exists."
"V" "350" "LUKE" "Still...there's something familiar about this place. I feel  like...I don't know..."
"V" "351" "STRANGE VOICE" "Feel like what?"
"V" "352" "LUKE" "Like we're being watched!"
"V" "353" "CREATURE" "Away with your weapon! I mean you no harm."
"V" "354" "CREATURE" "I am wondering, why are you here?"
"V" "355" "LUKE" "I'm looking for someone."
"V" "356" "CREATURE" "Looking? Found someone, you have, I would say, hmmm?"
"V" "357" "LUKE" "Right."
"V" "358" "CREATURE" "Help you I can. Yes, mmmm."
"V" "359" "LUKE" "I don't think so. I'm looking for a great warrior."
"V" "360" "CREATURE" "Ahhh! A great warrior.  Wars not  make one great."
"V" "361" "LUKE" "Put that down. Hey! That's my dinner."
"V" "362" "CREATURE" "How you get so big, eating food of this kind?"
"V" "363" "LUKE" "Listen, friend, we didn't mean to land in that puddle, and if we  could get our ship out, we would, but we can't, so why don't you just..."
"V" "364" "CREATURE" "Aww, cannot get your ship out?"
"V" "365" "LUKE" "Hey, you could have broken this. Don't do that. Ohhh...you're  making a mess. Hey, give me that!"
"V" "366" "CREATURE" "Mine! Or I will help you not."
"V" "367" "LUKE" "I don't want your help. I want my lamp back. I'll need it to get  out of this slimy mudhole."
"V" "368" "CREATURE" "Mudhole? Slimy? My home this is."
"V" "369" "CREATURE" "Ah, ah, ah!"
"V" "370" "LUKE" "Oh, Artoo, let him have it."
"V" "371" "CREATURE" "Mine! Mine!"
"V" "372" "LUKE" "Artoo!"
"V" "373" "CREATURE" "Mine!"
"V" "374" "CREATURE" "Mine!"
"V" "375" "LUKE" "Now will you move along, little fella? We're got a lot  of work to do."
"V" "376" "CREATURE" "No! No, no! Stay and help you, I will.  Find your  friend, hmm?"
"V" "377" "LUKE" "I'm not looking for a friend, I'm looking for a Jedi Master."
"V" "378" "CREATURE" "Oohhh. Jedi Master. Yoda. You seek Yoda."
"V" "379" "LUKE" "You know him?"
"V" "380" "CREATURE" "Mmm. Take you to him, I will.  Yes, yes. But now, we  must eat. Come. Good food. Come."
"V" "381" "CREATURE" "Come, come."
"V" "382" "LUKE" "Stay here and watch after the camp, Artoo."
"V" "383" "THREEPIO" "Oh, where is Artoo when I need him?"
"V" "384" "THREEPIO" "Sir, I don't know where your ship learned to communicate,  but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. I'm afraid you'll have to replace it."
"V" "385" "HAN" "Well, of course I'll have to replace it."
"V" "386" "HAN" "Here! And Chewie..."
"V" "387" "HAN" "...I think we'd better replace the negative power  coupling."
"V" "388" "HAN" "Hey, Your Worship, I'm only trying to help."
"V" "389" "LEIA" "Would you please stop calling me that?"
"V" "390" "HAN" "Sure, Leia."
"V" "391" "LEIA" "Oh, you make it so difficult sometimes."
"V" "392" "HAN" "I do, I really do. You could be a little nicer, though.  Come on, admit it. Sometimes you think I'm all right."
"V" "393" "LEIA" "Occasionally  maybe...when you aren't  acting like a scoundrel."
"V" "394" "HAN" "Scoundrel? Scoundrel? I like the sound of that."
"V" "395" "LEIA" "Stop that."
"V" "396" "HAN" "Stop what?"
"V" "397" "LEIA" "Stop that! My hands are dirty."
"V" "398" "HAN" "My hands are dirty, too. What are you afraid of?"
"V" "399" "LEIA" "Afraid?"
"V" "400" "HAN" "You're trembling."
"V" "401" "LEIA" "I'm not trembling."
"V" "402" "HAN" "You like me because I'm a scoundrel. There aren't enough  scoundrels in your life."
"V" "403" "LEIA" "I happen to like nice men."
"V" "404" "HAN" "I'm a nice man."
"V" "405" "LEIA" "No, you're not. You're..."
"V" "406" "THREEPIO" "Sir, sir! I've isolated the reverse power flux coupling."
"V" "407" "HAN" "Thank you. Thank you very much."
"V" "408" "THREEPIO" "Oh, you're perfectly welcome, sir."
"V" "409" "NEEDA" "...and that, Lord Vader, was the last time they  appeared in any of our scopes. Considering the amount of damage we've sustained, they must have been destroyed."
"V" "410" "VADER" "No, Captain, they're alive. I want every ship available to  sweep the asteroid field until they are found."
"V" "411" "PIETT" "Lord Vader."
"V" "412" "VADER" "Yes, Admiral, what is it?"
"V" "413" "PIETT" "The Emperor commands you make contact with him."
"V" "414" "VADER" "Move the ship out of the asteroid field so that we can send a  clear transmission."
"V" "415" "PIETT" "Yes, my lord."
"V" "416" "VADER" "What is thy bidding, my master?"
"V" "417" "EMPEROR" "There is a great disturbance in the Force."
"V" "418" "VADER" "I have felt it."
"V" "419" "EMPEROR" "We have a new enemy -- Luke Skywalker."
"V" "420" "VADER" "Yes, my master."
"V" "421" "EMPEROR" "He could destroy us."
"V" "422" "VADER" "He's just a boy. Obi-Wan can no longer help him."
"V" "423" "EMPEROR" "The Force is strong with him. The son of Skywalker must not  become a Jedi."
"V" "424" "VADER" "If he could be turned, he would become a powerful ally."
"V" "425" "EMPEROR" "Yes. Yes. He would be a great asset. Can it be done?"
"V" "426" "VADER" "He will join us or die, my master."
"V" "427" "LUKE" "Look, I'm sure it's delicious. I just don't understand why we  can't see Yoda now."
"V" "428" "CREATURE" "Patience! For the Jedi it is time to eat as well. Eat, eat.  Hot. Good food, hm? Good, hmm?"
"V" "429" "LUKE" "How far away is Yoda? Will it take us long to get there?"
"V" "430" "CREATURE" "Not far. Yoda not far. Patience. Soon you will be with him.   Rootleaf, I cook. Why wish you become Jedi? Hm?"
"V" "431" "LUKE" "Mostly because of my father, I guess."
"V" "432" "CREATURE" "Ah, your father. Powerful Jedi was he, powerful Jedi, mmm."
"V" "433" "LUKE" "Oh, come on. How could you know my father? You  don't even know who I am.  Oh, I don't even know what I'm doing here. We're wasting our time."
"V" "434" "CREATURE" "I cannot teach him. The boy has no patience."
"V" "435" "BEN" "He will learn patience."
"V" "436" "YODA" "Hmmm. Much anger in him, like his father."
"V" "437" "BEN" "Was I any different when you taught me?"
"V" "438" "YODA" "Hah. He is not ready."
"V" "439" "LUKE" "Yoda! I am ready. I...Ben! I can be a Jedi. Ben, tell him I'm  ready."
"V" "440" "YODA" "Ready, are you? What know you of ready? For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained! A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi craves not these things.  You are reckless!"
"V" "441" "BEN" "So was I, if you'll remember."
"V" "442" "YODA" "He is too old. Yes, too old to begin the training."
"V" "443" "LUKE" "But I've learned so much."
"V" "444" "YODA" "Will he finished what he begins?"
"V" "445" "LUKE" "I won't fail you -- I'm not afraid."
"V" "446" "YODA" "Oh, you will be. You will be."
"V" "447" "THREEPIO" "Sir, if I may venture an opinion..."
"V" "448" "HAN" "I'm not really interested in your opinion, Threepio."
"V" "449" "LEIA" "There's something out there."
"V" "450" "HAN" "Where?"
"V" "451" "LEIA" "Outside, in the cave."
"V" "452" "THREEPIO" "There it is. Listen! Listen!"
"V" "453" "HAN" "I'm going out there."
"V" "454" "LEIA" "Are you crazy?!"
"V" "455" "HAN" "I just got this bucket back together. I'm not going to let  something tear it apart."
"V" "456" "LEIA" "Then I'm going with you."
"V" "457" "THREEPIO" "I think it might be better if I stay here and guard the  ship.  Oh, no."
"V" "458" "LEIA" "This ground sure feels strange. It doesn't feel like rock at  all."
"V" "459" "HAN" "There's an awful lot of moisture in here."
"V" "460" "LEIA" "I don't know. I have a bad feeling about this."
"V" "461" "HAN" "Yeah."
"V" "462" "HAN" "Watch out!"
"V" "463" "HAN" "Yeah, that's what I thought. Mynock. Chewie, check the rest of  the ship, make sure there aren't any more attached. They're chewing on the power cables."
"V" "464" "LEIA" "Mynocks?"
"V" "465" "HAN" "Go on inside. We'll clean them off if there are any more."
"V" "466" "THREEPIO" "Ohhh! Go away! Go away! Beastly thing. Shoo! Shoo!"
"V" "467" "HAN" "Wait a minute..."
"V" "468" "HAN" "All right, Chewie, let's get out of here!"
"V" "469" "LEIA" "The Empire is still out there. I don't think it's wise to..."
"V" "470" "HAN" "No time to discuss this as a committee."
"V" "471" "LEIA" "I am not a committee!"
"V" "472" "LEIA" "You can't make the jump to light-speed in this asteroid field..."
"V" "473" "HAN" "Sit down, sweetheart. We're taking off!"
"V" "474" "THREEPIO" "Look!"
"V" "475" "HAN" "I see it, I see it."
"V" "476" "THREEPIO" "We're doomed!"
"V" "477" "LEIA" "The cave is collapsing."
"V" "478" "HAN" "This is no cave."
"V" "479" "LEIA" "What?"
"V" "480" "YODA" "Run! Yes. A Jedi's strength flows from the Force. But beware of  the dark side. Anger...fear...aggression. The dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan's apprentice."
"V" "481" "LUKE" "Vader. Is the dark side stronger?"
"V" "482" "YODA" "No...no...no. Quicker, easier, more seductive."
"V" "483" "LUKE" "But how am I to know the good side from the bad?"
"V" "484" "YODA" "You will know. When you are calm, at peace. Passive. A Jedi uses  the Force for knowledge and defense, never for attack."
"V" "485" "LUKE" "But tell me why I can't..."
"V" "486" "YODA" "No, no, there is no why. Nothing more will I  teach you today. Clear your mind of questions. Mmm. Mmmmmm."
"V" "487" "LUKE" "There's something not right here."
"V" "488" "LUKE" "I feel cold, death."
"V" "489" "YODA" "That place...is strong with the dark side of the Force. A domain  of evil it is. In you must go."
"V" "490" "LUKE" "What's in there?"
"V" "491" "YODA" "Only what you take with you."
"V" "492" "YODA" "Your weapons...you will not need them."
"V" "493" "PIETT" "Bounty hunters. We don't need that scum."
"V" "494" "FIRST CONTROLLER" "Yes, sir."
"V" "495" "PIETT" "Those Rebels won't escape us."
"V" "496" "SECOND CONTROLLER" "Sir, we have a priority signal from the Star  Destroyer Avenger."
"V" "497" "PIETT" "Right."
"V" "498" "VADER" "...there will be a substantial reward for the one who finds  the Millennium Falcon. You are free to use any methods necessary, but I want them alive. No disintegrations."
"V" "499" "BOBA FETT" "As you wish."
"V" "500" "PIETT" "Lord Vader! My lord, we have them."
"V" "501" "THREEPIO" "Oh, thank goodness we're coming out of the asteroid field."
"V" "502" "HAN" "Let's get out of here. Ready for light-speed? One...two...three!"
"V" "503" "HAN" "It's not fair!"
"V" "504" "HAN" "The transfer circuits are working. It's not my fault!"
"V" "505" "LEIA" "No light-speed?"
"V" "506" "HAN" "It's not my fault."
"V" "507" "THREEPIO" "Sir, we just lost the main rear deflector shield. One more  direct hit on the back quarter and we're done for."
"V" "508" "HAN" "Turn her around."
"V" "509" "HAN" "I said turn her around! I'm going to put all power in the front  shield."
"V" "510" "LEIA" "You're going to attack them?!"
"V" "511" "THREEPIO" "Sir, the odds of surviving a direct assault on an Imperial  Star Destroyer..."
"V" "512" "LEIA" "Shut up!"
"V" "513" "NEEDA" "They're moving to attack position. Shields up!"
"V" "514" "NEEDA" "Track them,. They may come around for another pass."
"V" "515" "TRACKING OFFICER" "Captain Needa, the ship no longer appears on our  scopes."
"V" "516" "NEEDA" "They can't have disappeared. No ship that small has a cloaking  device."
"V" "517" "TRACKING OFFICER" "Well, there's no trace of them, sir."
"V" "518" "COMMUNICATIONS OFFICER" "Captain, Lord Vader demands an update on the  pursuit."
"V" "519" "NEEDA" "Get a shuttle ready. I shall assume full  responsibility for losing them, and apologize to Lord Vader. Meanwhile, continue to scan the area."
"V" "520" "COMMUNICATIONS OFFICER" "Yes, Captain Needa."
"V" "521" "YODA" "Use the Force. Yes..."
"V" "522" "YODA" "Now...the stone. Feel it."
"V" "523" "YODA" "Concentrate!"
"V" "524" "LUKE" "Oh, no. We'll never get it out now."
"V" "525" "YODA" "So certain are you. Always with you it cannot be done. Hear you  nothing that I say?"
"V" "526" "LUKE" "Master, moving stones around is one thing. This is totally  different."
"V" "527" "YODA" "No! No different! Only different in your mind. You must unlearn  what you have learned."
"V" "528" "LUKE" "All right, I'll give it a try."
"V" "529" "YODA" "No! Try not. Do. Or do not. There is no try."
"V" "530" "LUKE" "I can't. It's too big."
"V" "531" "YODA" "Size matters not. Look at me. Judge me by my size, do you? Hm?  Mmmm."
"V" "532" "YODA" "And well you should not. For my ally in the Force. And a  powerful ally it is. Life creates it, makes it grow. It's energy surrounds us and binds us. Luminous beings are we......not this crude matter.  You must feel the Force around you.  Here, between you...me...the tree...the rock...everywhere! Yes, even between this land and that ship!"
"V" "533" "LUKE" "You want the impossible."
"V" "534" "LUKE" "I don't...I don't believe it."
"V" "535" "YODA" "That is why you fail."
"V" "536" "VADER" "Apology accepted, Captain Needa."
"V" "537" "PIETT" "Lord Vader, our ships have completed their scan of the area and  found nothing. If the Millennium Falcon went into light-speed, it'll be on the other side of the galaxy by now."
"V" "538" "VADER" "Alert all commands. Calculate every possible destination along  their last know trajectory."
"V" "539" "PIETT" "Yes, my lord. We'll find them."
"V" "540" "VADER" "Don't fail me again, Admiral."
"V" "541" "PIETT" "Alert all commands. Deploy the fleet."
"V" "542" "THREEPIO" "Captain Solo, this time you have gone too far.  No, I will not be quiet, Chewbacca. Why doesn't anyone listen to me?"
"V" "543" "HAN" "The fleet is beginning to break up. Go back and stand  by the manual release for the landing claw."
"V" "544" "THREEPIO" "I really don't see how thats going to help. Surrender is a  perfectly acceptable alternative in extreme circumstances. The Empire may be gracious enough..."
"V" "545" "HAN" "Thank you."
"V" "546" "LEIA" "What did you have in mind for your next move?"
"V" "547" "HAN" "Well, if they follow standard Imperial procedure, they'll dump  their garbage before they go to light-speed, then we just float away."
"V" "548" "LEIA" "With the rest of the garbage. Then what?"
"V" "549" "HAN" "Then we've got to find a safe port somewhere around here. Got any  ideas?"
"V" "550" "LEIA" "No. Where are we?"
"V" "551" "HAN" "The Anoat system."
"V" "552" "LEIA" "Anoat system. There's not much there."
"V" "553" "HAN" "No. Well, wait. This is interesting. Lando."
"V" "554" "LEIA" "Lando system?"
"V" "555" "HAN" "Lando's not a system, he's a man. Lando Calrissian. He's a card  player, gambler, scoundrel. You'd like him."
"V" "556" "LEIA" "Thanks."
"V" "557" "HAN" "Bespin. It's pretty far, but I think we can make it."
"V" "558" "LEIA" "A mining colony?"
"V" "559" "HAN" "Yeah, a Tibanna gas mine. Lando conned somebody out of it. We go  back a long way, Lando and me."
"V" "560" "LEIA" "Can you trust him?"
"V" "561" "HAN" "No. But he has no love for the Empire, I can tell you that."
"V" "562" "HAN" "Here we go, Chewie. Stand by. Detach!"
"V" "563" "LEIA" "You do have your moments. Not many, but you have them."
"V" "564" "YODA" "Concentrate...feel the Force flow. Yes. Good. Calm, yes. Through  the Force, things you will see. Other places. The future...the past. Old friends long gone."
"V" "565" "LUKE" "Han! Leia!"
"V" "566" "YODA" "Hmm. Control, control. You must learn control."
"V" "567" "LUKE" "I saw...I saw a city in the clouds."
"V" "568" "YODA" "Mmm. Friends you have there."
"V" "569" "LUKE" "They were in pain."
"V" "570" "YODA" "It is the future you see."
"V" "571" "LUKE" "Future? Will they die?"
"V" "572" "YODA" "Difficult to see. Always in motion is the future."
"V" "573" "LUKE" "I've got to go to them."
"V" "574" "YODA" "Decide you must how to serve them best. If you leave now, help  them you could. But you would destroy all for which they have fought and suffered."
"V" "575" "HAN" "No, I don't have a landing permit. I'm trying  to reach Lando Calrissian."
"V" "576" "HAN" "Whoa! Wait a minute! Let me explain."
"V" "577" "INTERCOM VOICE" "You will not deviate from your present course."
"V" "578" "THREEPIO" "Rather touchy, aren't they?"
"V" "579" "LEIA" "I thought you knew this person."
"V" "580" "HAN" "Well, that was a long time ago. I'm sure he's  forgotten about that."
"V" "581" "INTERCOM VOICE" "Permission granted to land on Platform  Three-two-seven."
"V" "582" "HAN" "Thank you."
"V" "583" "HAN" "There's nothing to worry about. We go way back, Lando and me."
"V" "584" "LEIA" "Who's worried?"
"V" "585" "THREEPIO" "Oh. No one to meet us."
"V" "586" "LEIA" "I don't like this."
"V" "587" "HAN" "Well, what would you like?"
